url,perc,count
"https://berthub.eu/articles/posts/europes-software-problem/",77,6
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",8,1
"https://berthub.eu/articles/posts/corona-delta-update/",60,
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",11,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",69,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",15,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",29,20
"https://berthub.eu/articles/posts/ingenieria_inversa_del_codigo_fuente_de_la_vacuna_de_biontech_pfizer_para_el_sars-cov-2/",50,12
"https://berthub.eu/articles/posts/corona-delta-update/",40,3
"https://berthub.eu/articles/posts/corona-delta-update/",55,9
"https://berthub.eu/articles/posts/corona-delta-update/",21,3
"https://berthub.eu/articles/posts/corona-delta-update/",84,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",41,8
"https://berthub.eu/articles/posts/how-tech-loses-out/",22,8
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",7,2
"https://berthub.eu/articles/posts/corona-delta-update/",58,2
"https://berthub.eu/articles/posts/corona-delta-update/",37,2
"https://berthub.eu/articles/posts/dont-ruin-the-root/",87,10
"https://berthub.eu/articles/posts/corona-delta-update/",96,9
"https://berthub.eu/articles/posts/corona-en-je-oom/",23,2
"https://berthub.eu/articles/posts/corona-en-je-oom/",81,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",28,3
"https://berthub.eu/articles/posts/corona-delta-update/",51,2
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",12,2
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",74,7
"https://berthub.eu/articles/posts/corona-delta-update/",73,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",23,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",67,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",5,2
"https://berthub.eu/articles/posts/corona-delta-update/",30,2
"https://berthub.eu/articles/posts/corona-delta-update/",71,4
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",28,2
"https://berthub.eu/articles/posts/europes-software-problem/",56,2
